中国 1039179776 1039187967
中国	3405938176	3405938687
东帝汶	3272086784	3272087039
英国	3240281472	3240281599
丹麦	1539816960	1539817215
中国	1039346176	1039346431
奥地利	3250233600	3250233855
中国	975855616	975863807
英国	3275492816	3275493119
英国	3558288128	3558288671
乌克兰	1539620864	1539623935
美国	3333496832	3333501951
意大利	3239539200	3239539455
匈牙利	3231116800	3231117055
中国	1902781440	1902788607
比利时	3560941120	3560941123
保加利亚	3563036672	3563044863
阿联酋	2966159360	2966290431
加拿大	3223583744	3223583999
中国	2026622720	2026624511
西班牙	1585190912	1585192959
印度	1728385024	1728386047
中国	1846689792	1846706175
中国	3545913600	3545921535
德国	3278938484	3278938487
加拿大	1248958464	1248959487
中国	3670126592	3670130687
中国	3549590400	3549590463
法国	3276314624	3276315647
中国	1846005760	1846009855
乌克兰	1539431424	1539432447
日本	2084743168	2084745215
台湾	3671195648	3671326719
荷兰	3277478144	3277479935
中国	2090071040	2090072063
中国	3725950976	3725959167
德国	3271925760	3271926015
阿尔巴尼亚	2957202945	2957202947
中国	993342464	993346559
葡萄牙	1348161536	1348162559
英国	3262472376	3262472379
印度	1921943552	1921945599
英国	3240463872	3240464127
英国	1353751552	1353752575
荷兰	3575643392	3575643519
中国	3721054208	3721060351
英国	1041345728	1041345767
德国	1043799040	1043799295
中国	2090972160	2090972927
加拿大	3493982208	3493984255
索马里	3252425088	3252425215
瑞士	3278940232	3278940235
土耳其	1540939520	1540939775
瑞典	3240955472	3240961055
瑞士	3576119472	3576119487
菲律宾	3392826368	3392827391
德国	3262479407	3262479410
卢森堡	3283179520	3283180543
俄罗斯	1539812864	1539813119
加拿大	3426744320	3426746367
巴西	3356161280	3356161535
中国	3396314624	3396315903
乌克兰	3562699776	3562700799
德国	3584327680	3584335871
中国	977451520	977452031
哥伦比亚	3194044416	3194052607
斯洛伐克	3562078208	3562086399
波兰	3254895616	3254895871
意大利	3278943894	3278943894
中国	1038658384	1038658431
中国	3526651392	3526651455
美国	2184314880	2184577023
乌克兰	2995257344	2995388415
德国	1540356608	1540357119
中国	1035573248	1035599871
乌克兰	3244127232	3244128255
中国	3737280512	3737284607
加拿大	3226010880	3226011135
中国	2102118400	2102124543
德国	3560940392	3560940395
荷兰	1384693760	1384710143
英国	1347503104	1347503359
法国	3244943360	3244943615
中国	1965195264	1965211647
中国	3657777200	3657777207
英国	3255327232	3255327743
中国	3704299520	3704307711
中国	3738157056	3738159103
中国	2051358720	2051366911
荷兰	2456289280	2456354815
美国	3262472580	3262472591
土耳其	3255414272	3255414527
英国	3282885432	3282885439
英国	1842198528	1842200575
白俄罗斯	3568309952	3568310015
中国	3704248320	3704248575
中国	3391720960	3391721215
保加利亚	1540906752	1540907007
中国	2937536512	2937552895
中国	3395371264	3395371391
中国	2052319232	2052321279
巴西	3262475684	3262475687
中国	2101945344	2101946367
波兰	3279981568	3279981823
荷兰	773713920	773715967
